regionname,countryname,project result,curr_project_cost,lendinginstr
Eastern and Southern Africa,Republic of South Africa,Success,14000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of South Africa,Success,11600000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,25000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,25000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,25200000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,30000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,30000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of South Africa,Success,20000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,30000000,Sector Investment and Maintenance Loan
Middle East and North Africa,State of Israel,Success,35000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,35000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,30000000,Sector Investment and Maintenance Loan
Middle East and North Africa,State of Israel,Success,30000000,Specific Investment Loan
Middle East and North Africa,State of Israel,Success,20000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,25000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,15000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,20000000,Financial Intermediary Loan
Middle East and North Africa,State of Israel,Success,22000000,Specific Investment Loan
Middle East and North Africa,State of Israel,Success,25000000,Sector Investment and Maintenance Loan
Middle East and North Africa,State of Israel,Success,27500000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,420000000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,200000000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,150000000,Sector Adjustment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,300000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Fail,65000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,5000000,Learning and Innovation Loan
Africa,Africa,Success,3550000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Fail,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,2400000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,81700000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,44000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,20000000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,60000000,Financial Intermediary Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,35000000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Success,51000000,Structural Adjustment Loan
Western and Central Africa,Republic of Togo,Success,50000000,Structural Adjustment Loan
Western and Central Africa,Central African Republic,Fail,20000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,101000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of South Africa,Success,91200000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,120000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,10600000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,13400000,
Eastern and Southern Africa,Republic of Malawi,Success,8020000,Specific Investment Loan
Western and Central Africa,Republic of Guinea-Bissau,Success,33500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,13100000,Emergency Recovery Loan
Middle East and North Africa,Republic of Tunisia,Success,258000000,Specific Investment Loan
Middle East and North Africa,Islamic Republic of Iran,Success,20000000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,150000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Kenya,Success,122000000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,24000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea-Bissau,Success,66100000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,114850000,Adaptable Program Loan
Western and Central Africa,Republic of Chad,Success,91130000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,113000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Fail,10000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,50000000,Sector Adjustment Loan
Western and Central Africa,Gabonese Republic,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,82800000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Benin,Success,35000000,Adaptable Program Loan
Western and Central Africa,Republic of Congo,Fail,11000000,Specific Investment Loan
Western and Central Africa,Republic of Benin,Success,19500000,Specific Investment Loan
Western and Central Africa,Republic of The Gambia,Success,51300000,Adaptable Program Loan
Eastern and Southern Africa,Republic of Zambia,Success,170000000,Structural Adjustment Loan
Western and Central Africa,Republic of Guinea,Fail,24800000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,55000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Uganda,Success,12300000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,53400000,Adaptable Program Loan
Eastern and Southern Africa,Republic of Zimbabwe,Success,106000000,Financial Intermediary Loan
Western and Central Africa,Gabonese Republic,Success,5000000,Learning and Innovation Loan
Western and Central Africa,Republic of Chad,Success,9500000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,12600000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,10900000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Fail,40000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,21500000,Specific Investment Loan
Western and Central Africa,Republic of Congo,Fail,20000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,28000000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Fail,40000000,Sector Adjustment Loan
Western and Central Africa,Republic of Niger,Success,28200000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,40000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Fail,10000000,Technical Assistance Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,304000000,Sector Adjustment Loan
Western and Central Africa,Republic of Cameroon,Fail,60000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,27200000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Success,23900000,Technical Assistance Loan
Western and Central Africa,Gabonese Republic,Success,8300000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,20000000,Structural Adjustment Loan
Western and Central Africa,Burkina Faso,Success,25000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,28200000,Structural Adjustment Loan
Western and Central Africa,Republic of Niger,Success,25000000,Structural Adjustment Loan
Western and Central Africa,Republic of Mali,Success,25000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,85000000,Sector Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,100000000,Sector Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,100000000,Sector Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,50000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Zambia,Success,16800000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Uganda,Success,1100000,Sector Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,200000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,3700000,Sector Adjustment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,1300000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Success,4300000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Kenya,Success,42200000,Sector Adjustment Loan
Western and Central Africa,Republic of Ghana,Success,5700000,Sector Adjustment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,500000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,75000000,Structural Adjustment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,1800000,Learning and Innovation Loan
Eastern and Southern Africa,Republic of Zambia,Success,198400000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,42100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,29000000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,5200000,
Middle East and North Africa,Islamic Republic of Iran,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,14000000,
Middle East and North Africa,Islamic Republic of Iran,Success,60000000,Specific Investment Loan
Middle East and North Africa,Islamic Republic of Iran,Success,50000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,40000000,
Eastern and Southern Africa,Republic of Kenya,Success,35100000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Fail,50000000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Success,36600000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,51200000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,80000000,Sector Adjustment Loan
Middle East and North Africa,West Bank and Gaza,Success,93500000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,24000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,115170000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,104800000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,29500000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Fail,17000000,Sector Investment and Maintenance Loan
Middle East and North Africa,Arab Republic of Egypt,Fail,20000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,48100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,10000000,Sector Adjustment Loan
Middle East and North Africa,Republic of Yemen,Fail,35000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Fail,21100000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Fail,12000000,Specific Investment Loan
